Gmt time,Open,High,Low,Close
16.02.2021 01:24:00.000,16.417,16.417,16.417,16.417
16.02.2021 01:25:00.000,16.417,16.417,16.417,16.417
16.02.2021 01:26:00.000,16.417,16.417,16.417,16.417
16.02.2021 01:27:00.000,16.417,16.417,16.417,16.417
16.02.2021 01:28:00.000,16.417,16.417,16.417,16.417
16.02.2021 01:29:00.000,16.417,16.417,16.417,16.417
16.02.2021 01:30:00.000,16.517,16.598,16.517,16.597
16.02.2021 01:31:00.000,16.586,16.598,16.557,16.578
16.02.2021 01:32:00.000,16.567,16.598,16.567,16.598
16.02.2021 01:33:00.000,16.597,16.618,16.597,16.597
16.02.2021 01:34:00.000,16.598,16.598,16.577,16.577
16.02.2021 01:35:00.000,16.578,16.601,16.557,16.586
16.02.2021 01:36:00.000,16.585,16.598,16.577,16.577
16.02.2021 01:37:00.000,16.578,16.579,16.557,16.558
16.02.2021 01:38:00.000,16.557,16.558,16.517,16.519
16.02.2021 01:39:00.000,16.521,16.538,16.517,16.538
16.02.2021 01:40:00.000,16.537,16.538,16.537,16.538
16.02.2021 01:41:00.000,16.538,16.538,16.519,16.537
16.02.2021 01:42:00.000,16.52,16.538,16.518,16.538
16.02.2021 01:43:00.000,16.538,16.538,16.517,16.517
16.02.2021 01:44:00.000,16.518,16.518,16.502,16.503
16.02.2021 01:45:00.000,16.502,16.538,16.502,16.538
16.02.2021 01:46:00.000,16.537,16.538,16.537,16.538
16.02.2021 01:47:00.000,16.537,16.537,16.517,16.517
16.02.2021 01:48:00.000,16.518,16.52,16.505,16.517
16.02.2021 01:49:00.000,16.517,16.538,16.517,16.537
16.02.2021 01:50:00.000,16.519,16.557,16.518,16.521
16.02.2021 01:51:00.000,16.523,16.523,16.517,16.517
